trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-28,sh600061,600061,国投资本,8.17,8.31,8.09,8.25,-1.57,-0.13,330911,271093600.0,2.65,0.52,10.01,8.3,52494696662,52494696662,1.16,19970519
2021-10-28,sz000797,000797,中国武夷,2.51,2.54,2.48,2.52,-1.57,-0.04,88543,22179693.0,2.35,0.57,71.98,2.55,3943205515,3932727038,0.75,19970715
2021-10-28,sz300339,300339,润和软件,26.97,28.85,25.36,26.95,-1.57,-0.43,955752,2604196048.0,12.74,12.39,141.94,27.4,21479200382,20806363637,7.14,20120718
2021-10-28,sz002521,002521,齐峰新材,5.64,5.75,5.6,5.74,-1.57,-0.09,43363,24545749.0,2.62,1.08,13.15,5.73,2790028019,2271959970,0.78,20101210
2021-10-28,sh603956,603956,威派格,15.03,15.5,15.02,15.24,-1.57,-0.24,10101,15347565.0,3.14,1.15,33.97,15.27,6402188855,1320545855,5.41,20190222
2021-10-28,sz002265,002265,西仪股份,7.51,7.74,7.43,7.69,-1.57,-0.12,27459,20656291.0,4.06,0.9,-222.57,7.63,2392431952,2292283856,2.75,20080806
2021-10-28,sz000668,000668,荣丰控股,13.75,13.96,13.56,13.81,-1.57,-0.22,3777,5199267.0,2.86,0.26,-33.4,13.97,2019075988,2016965404,2.25,19961210
2021-10-28,sh600819,600819,耀皮玻璃,4.99,5.1,4.91,5.05,-1.58,-0.08,69798,34861030.0,3.75,0.93,21.1,5.07,4665231184,3729606174,1.31,19940128
2021-10-28,sz002324,002324,普利特,10.6,10.76,10.4,10.76,-1.58,-0.17,30133,31742612.0,3.34,0.48,95.51,10.77,10749060560,6705025156,4.04,20091218
2021-10-28,sz002374,002374,中锐股份,2.49,2.55,2.46,2.54,-1.58,-0.04,110487,27516272.0,3.56,1.13,-206.03,2.53,2709004920,2435903958,1.01,20100318
2021-10-28,sh600018,600018,上港集团,5.6,5.75,5.55,5.72,-1.58,-0.09,291282,163875550.0,3.51,0.13,7.48,5.69,130360606600,129772578040,1.4,20061026
2021-10-28,sh601686,601686,友发集团,9.29,9.55,9.22,9.5,-1.59,-0.15,16674,15552231.0,3.5,1.17,11.21,9.44,13364190814,1319180000,2.15,20201204
2021-10-28,sh603856,603856,东宏股份,12.35,12.64,12.33,12.58,-1.59,-0.2,18571,23087277.0,2.47,0.72,12.9,12.55,3186727310,3166720310,1.6,20171106
2021-10-28,sh603506,603506,南都物业,13.58,13.76,13.4,13.49,-1.59,-0.22,5541,7501358.0,2.61,0.3,14.16,13.8,2550022239,2550022239,2.77,20180201
2021-10-28,sz000596,000596,古井贡酒,224.15,232.8,222.52,232.76,-1.6,-3.65,33142,749851360.0,4.51,0.86,42.97,227.8,118485690000,85983940000,7.58,19960927
2021-10-28,sh605300,605300,佳禾食品,17.18,17.45,16.66,17.45,-1.6,-0.28,24636,42106235.0,4.52,6.16,46.63,17.46,6872171800,687371800,3.66,20210430
